customer_id,customer_first_name,customer_last_name,customer_postal_code
1,Alejandro,Costa,M1L
2,Mei,Chen,M3H
3,Amir,Khan,M1L
4,Leyla,Abadi,M3H
5,Hiro,Yamamoto,M8Y
6,Sofia,Rodríguez,M1L
7,Anwar,Ali,M8Y
8,Khaled,Naser,M3H
9,Zuri,Okoro,M4H
10,Taylor,Park,M4H
11,Sofia,Petrov,M3H
12,Jalen,Carter,M8Y
13,Abigail,Harris,M8Y
14,Jack,Wise,M1L
15,Carlos,Diaz,M6C
16,Iva,Kienzler,M4H
17,Jeri,Mitchell,M1L
18,Anjali,Kumar,M8Y
19,Salil,Hassan,M3H
20,Johannes,Paulson,M8Y
21,Yoojung,Kim,M4H
22,Julio,da Silva,M3H
23,Jessica,Connor,M4H
24,Dylan,O'Connor,M1L
25,Lea,Fischer,M3H
26,Richard,Côté,M3H
